province,city,time,cum_confirm,cum_heal,cum_dead,累计重症病例,累计危重病例,confirm,heal,dead,新增重症病例数量,新增危重病例数量,武汉接触史,来源链接,数据来源,公告中是否有病例,其他
山西,运城,2020-02-02,13,1,,0,,3,NA,1,0,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,山西自治区卫生健康委员会,,
山西,大同,2020-02-02,9,0,,0,,1,NA,0,0,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,山西自治区卫生健康委员会,,
山西,太原,2020-02-02,6,1,,2,,0,NA,0,0,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,山西自治区卫生健康委员会,,
山西,晋城,2020-02-02,6,0,,1,,3,NA,0,1,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,山西自治区卫生健康委员会,,
山西,吕梁,2020-02-02,5,0,,0,,0,NA,0,0,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,山西自治区卫生健康委员会,,
山西,朔州,2020-02-02,3,0,,0,,0,NA,0,0,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,山西自治区卫生健康委员会,,
山西,长治,2020-02-02,3,0,,1,,0,NA,0,1,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,山西自治区卫生健康委员会,,
山西,忻州,2020-02-02,3,0,,1,,0,NA,0,0,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,山西自治区卫生健康委员会,,
山西,阳泉,2020-02-02,2,0,,0,,1,NA,0,0,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,山西自治区卫生健康委员会,,
山西,临汾,2020-02-02,1,0,,0,,0,NA,0,0,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,山西自治区卫生健康委员会,,
内蒙古,内蒙古,2020-02-02,34,1,,,,7,NA,,,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,内蒙古自治区卫生健康委员会,,
内蒙古,呼和浩特,2020-02-02,4,0,,,,2,NA,,,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,内蒙古自治区卫生健康委员会,,
内蒙古,包头,2020-02-02,6,0,,,,1,NA,,,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,内蒙古自治区卫生健康委员会,,
内蒙古,呼伦贝尔,2020-02-02,2,1,,,,0,NA,,,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,内蒙古自治区卫生健康委员会,,
内蒙古,兴安盟,2020-02-02,1,0,,,,0,NA,,,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,内蒙古自治区卫生健康委员会,,
内蒙古,通辽,2020-02-02,1,0,,,,0,NA,,,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,内蒙古自治区卫生健康委员会,,
内蒙古,赤峰,2020-02-02,2,0,,,,0,NA,,,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,内蒙古自治区卫生健康委员会,,
内蒙古,锡林郭勒,2020-02-02,2,0,,,,0,NA,,,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,内蒙古自治区卫生健康委员会,,
内蒙古,乌兰察布,2020-02-02,3,0,,,,1,NA,,,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,内蒙古自治区卫生健康委员会,,
内蒙古,鄂尔多斯,2020-02-02,9,0,,,,3,NA,,,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,内蒙古自治区卫生健康委员会,,
内蒙古,巴彦淖尔,2020-02-02,3,0,,,,0,NA,,,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,内蒙古自治区卫生健康委员会,,
内蒙古,乌海,2020-02-02,1,0,,,,0,NA,,,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,内蒙古自治区卫生健康委员会,,
辽宁,辽宁,2020-02-02,70,1,,5,,6,NA,,,,,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200202_3732423.html,辽宁省卫生健康委员会,,
辽宁,沈阳,2020-02-02,13,0,,,,1,NA,,,,,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200202_3732423.html,辽宁省卫生健康委员会,,
辽宁,大连,2020-02-02,12,1,,,,2,NA,,,,,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200202_3732423.html,辽宁省卫生健康委员会,,
辽宁,鞍山,2020-02-02,1,0,,,,0,NA,,,,,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200202_3732423.html,辽宁省卫生健康委员会,,
辽宁,本溪,2020-02-02,3,0,,,,0,NA,,,,,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200202_3732423.html,辽宁省卫生健康委员会,,
辽宁,丹东,2020-02-02,6,0,,,,0,NA,,,,,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200202_3732423.html,辽宁省卫生健康委员会,,
辽宁,锦州,2020-02-02,7,0,,,,0,NA,,,,,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200202_3732423.html,辽宁省卫生健康委员会,,
辽宁,营口,2020-02-02,1,0,,,,0,NA,,,,,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200202_3732423.html,辽宁省卫生健康委员会,,
辽宁,阜新,2020-02-02,3,0,,,,1,NA,,,,,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200202_3732423.html,辽宁省卫生健康委员会,,
辽宁,辽阳,2020-02-02,2,0,,,,1,NA,,,,,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200202_3732423.html,辽宁省卫生健康委员会,,
辽宁,铁岭,2020-02-02,3,0,,,,0,NA,,,,,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200202_3732423.html,辽宁省卫生健康委员会,,
辽宁,朝阳,2020-02-02,6,0,,,,0,NA,,,,,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200202_3732423.html,辽宁省卫生健康委员会,,
辽宁,盘锦,2020-02-02,8,0,,,,1,NA,,,,,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200202_3732423.html,辽宁省卫生健康委员会,,
辽宁,葫芦岛,2020-02-02,5,0,,,,0,NA,,,,,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200202_3732423.html,辽宁省卫生健康委员会,,
吉林,吉林,2020-02-02,30,1,,,,8,NA,,,,,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200203_6672974.html,吉林省卫生健康委员会,1,
吉林,长春,2020-02-02,16,1,,,,4,NA,,,,,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200203_6672974.html,吉林省卫生健康委员会,1,
吉林,吉林市,2020-02-02,4,0,,,,1,NA,,,,,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200203_6672974.html,吉林省卫生健康委员会,1,
吉林,四平,2020-02-02,4,0,,,,3,NA,,,,,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200203_6672974.html,吉林省卫生健康委员会,1,
吉林,通化,2020-02-02,1,0,,,,0,NA,,,,,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200203_6672974.html,吉林省卫生健康委员会,1,
吉林,松原,2020-02-02,2,0,,,,0,NA,,,,,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200203_6672974.html,吉林省卫生健康委员会,1,
吉林,延边,2020-02-02,2,0,,,,0,NA,,,,,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200203_6672974.html,吉林省卫生健康委员会,1,
吉林,公主岭,2020-02-02,1,0,,,,0,NA,,,,,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200203_6672974.html,吉林省卫生健康委员会,1,
黑龙江,黑龙江,2020-02-02,118,2,2,15,,23,NA,,2,,,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7755/navid/42/id/3,黑龙江省卫生健康委员会,,
黑龙江,哈尔滨,2020-02-02,45,2,0,,,11,NA,,,,,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7755/navid/42/id/3,黑龙江省卫生健康委员会,,
黑龙江,齐齐哈尔,2020-02-02,3,0,0,,,0,NA,,,,,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7755/navid/42/id/3,黑龙江省卫生健康委员会,,
黑龙江,牡丹江,2020-02-02,8,0,0,,,1,NA,,,,,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7755/navid/42/id/3,黑龙江省卫生健康委员会,,
黑龙江,佳木斯,2020-02-02,11,0,0,,,0,NA,,,,,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7755/navid/42/id/3,黑龙江省卫生健康委员会,,
黑龙江,大庆,2020-02-02,11,0,0,,,3,NA,,,,,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7755/navid/42/id/3,黑龙江省卫生健康委员会,,
黑龙江,鸡西,2020-02-02,6,0,0,,,2,NA,,,,,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7755/navid/42/id/3,黑龙江省卫生健康委员会,,
黑龙江,双鸭山,2020-02-02,7,0,0,,,3,NA,,,,,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7755/navid/42/id/3,黑龙江省卫生健康委员会,,
黑龙江,七台河,2020-02-02,7,0,0,,,1,NA,,,,,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7755/navid/42/id/3,黑龙江省卫生健康委员会,,
黑龙江,鹤岗,2020-02-02,1,0,0,,,0,NA,,,,,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7755/navid/42/id/3,黑龙江省卫生健康委员会,,
黑龙江,黑河,2020-02-02,1,0,0,,,0,NA,,,,,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7755/navid/42/id/3,黑龙江省卫生健康委员会,,
黑龙江,绥化,2020-02-02,16,0,2,,,2,NA,,,,,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7755/navid/42/id/3,黑龙江省卫生健康委员会,,
黑龙江,大兴安岭,2020-02-02,2,0,0,,,0,NA,,,,,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7755/navid/42/id/3,黑龙江省卫生健康委员会,,
上海,上海,2020-02-02,193,10,1,5,7,16,NA,,1,,,http://wsjkw.sh.gov.cn/xwfb/20200203/54e08c734fc54ad39bc2563e8eecf6f8.html,上海市卫生健康委员会,,
江苏,江苏,2020-02-02,271,7,,2,,35,NA,1,1,,,http://wjw.jiangsu.gov.cn/art/2020/2/3/art_7290_8959401.html,江苏省卫生健康委员会,,
江苏,南京,2020-02-02,40,2,,0,,5,NA,0,0,,,http://wjw.jiangsu.gov.cn/art/2020/2/3/art_7290_8959401.html,江苏省卫生健康委员会,,
江苏,无锡,2020-02-02,23,0,,0,,4,NA,0,0,,,http://wjw.jiangsu.gov.cn/art/2020/2/3/art_7290_8959401.html,江苏省卫生健康委员会,,
江苏,徐州,2020-02-02,36,0,,0,,6,NA,0,0,,,http://wjw.jiangsu.gov.cn/art/2020/2/3/art_7290_8959401.html,江苏省卫生健康委员会,,
江苏,常州,2020-02-02,15,0,,0,,0,NA,0,0,,,http://wjw.jiangsu.gov.cn/art/2020/2/3/art_7290_8959401.html,江苏省卫生健康委员会,,
江苏,苏州,2020-02-02,44,3,,2,,6,NA,1,1,,,http://wjw.jiangsu.gov.cn/art/2020/2/3/art_7290_8959401.html,江苏省卫生健康委员会,,
江苏,南通,2020-02-02,19,0,,0,,2,NA,0,0,,,http://wjw.jiangsu.gov.cn/art/2020/2/3/art_7290_8959401.html,江苏省卫生健康委员会,,
江苏,连云港,2020-02-02,14,1,,0,,1,NA,0,0,,,http://wjw.jiangsu.gov.cn/art/2020/2/3/art_7290_8959401.html,江苏省卫生健康委员会,,
江苏,淮安,2020-02-02,18,1,,0,,5,NA,0,0,,,http://wjw.jiangsu.gov.cn/art/2020/2/3/art_7290_8959401.html,江苏省卫生健康委员会,,
江苏,盐城,2020-02-02,15,0,,0,,0,NA,0,0,,,http://wjw.jiangsu.gov.cn/art/2020/2/3/art_7290_8959401.html,江苏省卫生健康委员会,,
江苏,扬州,2020-02-02,14,0,,0,,1,NA,0,0,,,http://wjw.jiangsu.gov.cn/art/2020/2/3/art_7290_8959401.html,江苏省卫生健康委员会,,
江苏,镇江,2020-02-02,3,0,,0,,0,NA,0,0,,,http://wjw.jiangsu.gov.cn/art/2020/2/3/art_7290_8959401.html,江苏省卫生健康委员会,,
江苏,泰州,2020-02-02,21,0,,0,,4,NA,0,0,,,http://wjw.jiangsu.gov.cn/art/2020/2/3/art_7290_8959401.html,江苏省卫生健康委员会,,
江苏,宿迁,2020-02-02,9,0,,0,,1,NA,0,0,,,http://wjw.jiangsu.gov.cn/art/2020/2/3/art_7290_8959401.html,江苏省卫生健康委员会,,
浙江,浙江,2020-02-02,724,36,,58（含12危重）,12,63,NA,13,,,,http://www.blueskyinfo.com.cn/wjwApp/webinfo/infoDetail.do?infoIds=E3BE035E1EEA087FC952B932BF6EAAAFE2C2A2AE6409BAC01C6758E47B05C094207D13CF1DB93637,浙江省卫生健康委员会,,
浙江,杭州,2020-02-02,118,2,,10,,8,NA,0,,,,http://www.blueskyinfo.com.cn/wjwApp/webinfo/infoDetail.do?infoIds=E3BE035E1EEA087FC952B932BF6EAAAFE2C2A2AE6409BAC01C6758E47B05C094207D13CF1DB93637,浙江省卫生健康委员会,,
浙江,宁波,2020-02-02,75,1,,6,,9,NA,0,,,,http://www.blueskyinfo.com.cn/wjwApp/webinfo/infoDetail.do?infoIds=E3BE035E1EEA087FC952B932BF6EAAAFE2C2A2AE6409BAC01C6758E47B05C094207D13CF1DB93637,浙江省卫生健康委员会,,
浙江,温州,2020-02-02,291,15,,19,,26,NA,5,,,,http://www.blueskyinfo.com.cn/wjwApp/webinfo/infoDetail.do?infoIds=E3BE035E1EEA087FC952B932BF6EAAAFE2C2A2AE6409BAC01C6758E47B05C094207D13CF1DB93637,浙江省卫生健康委员会,,
浙江,湖州,2020-02-02,9,0,,0,,3,NA,0,,,,http://www.blueskyinfo.com.cn/wjwApp/webinfo/infoDetail.do?infoIds=E3BE035E1EEA087FC952B932BF6EAAAFE2C2A2AE6409BAC01C6758E47B05C094207D13CF1DB93637,浙江省卫生健康委员会,,
浙江,嘉兴,2020-02-02,19,0,,2,,0,NA,0,,,,http://www.blueskyinfo.com.cn/wjwApp/webinfo/infoDetail.do?infoIds=E3BE035E1EEA087FC952B932BF6EAAAFE2C2A2AE6409BAC01C6758E47B05C094207D13CF1DB93637,浙江省卫生健康委员会,,
浙江,绍兴,2020-02-02,30,2,,7,,3,NA,1,,,,http://www.blueskyinfo.com.cn/wjwApp/webinfo/infoDetail.do?infoIds=E3BE035E1EEA087FC952B932BF6EAAAFE2C2A2AE6409BAC01C6758E47B05C094207D13CF1DB93637,浙江省卫生健康委员会,,
浙江,金华,2020-02-02,36,6,,4,,2,NA,3,,,,http://www.blueskyinfo.com.cn/wjwApp/webinfo/infoDetail.do?infoIds=E3BE035E1EEA087FC952B932BF6EAAAFE2C2A2AE6409BAC01C6758E47B05C094207D13CF1DB93637,浙江省卫生健康委员会,,
浙江,衢州,2020-02-02,14,0,,2,,1,NA,0,,,,http://www.blueskyinfo.com.cn/wjwApp/webinfo/infoDetail.do?infoIds=E3BE035E1EEA087FC952B932BF6EAAAFE2C2A2AE6409BAC01C6758E47B05C094207D13CF1DB93637,浙江省卫生健康委员会,,
浙江,舟山,2020-02-02,7,2,,0,,0,NA,1,,,,http://www.blueskyinfo.com.cn/wjwApp/webinfo/infoDetail.do?infoIds=E3BE035E1EEA087FC952B932BF6EAAAFE2C2A2AE6409BAC01C6758E47B05C094207D13CF1DB93637,浙江省卫生健康委员会,,
浙江,台州,2020-02-02,109,7,,6,,9,NA,3,,,,http://www.blueskyinfo.com.cn/wjwApp/webinfo/infoDetail.do?infoIds=E3BE035E1EEA087FC952B932BF6EAAAFE2C2A2AE6409BAC01C6758E47B05C094207D13CF1DB93637,浙江省卫生健康委员会,,
浙江,丽水,2020-02-02,16,1,,2,,2,NA,0,,,,http://www.blueskyinfo.com.cn/wjwApp/webinfo/infoDetail.do?infoIds=E3BE035E1EEA087FC952B932BF6EAAAFE2C2A2AE6409BAC01C6758E47B05C094207D13CF1DB93637,浙江省卫生健康委员会,,
安徽,安徽,2020-02-02,408,7,0,,4,68,NA,2,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,合肥,2020-02-02,75,3,,,,16,NA,0,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,淮北,2020-02-02,8,0,,,,2,NA,0,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,亳州,2020-02-02,39,0,,,,9,NA,0,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,宿州,2020-02-02,21,0,,,,7,NA,0,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,蚌埠,2020-02-02,37,0,,,,11,NA,0,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,阜阳,2020-02-02,65,0,,,,6,NA,0,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,淮南,2020-02-02,7,0,,,,1,NA,0,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,滁州,2020-02-02,8,2,,,,2,NA,0,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,六安,2020-02-02,20,0,,,,7,NA,0,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,马鞍山,2020-02-02,28,0,,,,1,NA,0,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,芜湖,2020-02-02,16,0,,,,0,NA,1,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,宣城,2020-02-02,4,0,,,,0,NA,1,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,铜陵,2020-02-02,18,1,,,,2,NA,0,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,池州,2020-02-02,6,1,,,,0,NA,0,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,安庆,2020-02-02,47,0,,,,4,NA,0,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
安徽,黄山,2020-02-02,9,0,,,,0,NA,0,,,,http://wjw.ah.gov.cn/news_details_54453.html,安徽省卫生健康委员会,,
福建,福建,2020-02-02,179,,0,13,7,20,NA,,6,2,,http://wjw.fujian.gov.cn/ztzl/gzbufk/yqtb/202002/t20200203_5188217.htm,福建省卫生健康委员会,,
福建,福州,2020-02-02,47,,,,,3,NA,,,,,http://wjw.fujian.gov.cn/ztzl/gzbufk/yqtb/202002/t20200203_5188217.htm,福建省卫生健康委员会,,
福建,厦门,2020-02-02,19,,,,,1,NA,,,,,http://wjw.fujian.gov.cn/ztzl/gzbufk/yqtb/202002/t20200203_5188217.htm,福建省卫生健康委员会,,
福建,漳州,2020-02-02,13,,,,,1,NA,,,,,http://wjw.fujian.gov.cn/ztzl/gzbufk/yqtb/202002/t20200203_5188217.htm,福建省卫生健康委员会,,
福建,泉州,2020-02-02,31,,,,,2,NA,,,,,http://wjw.fujian.gov.cn/ztzl/gzbufk/yqtb/202002/t20200203_5188217.htm,福建省卫生健康委员会,,
福建,三明,2020-02-02,11,,,,,0,NA,,,,,http://wjw.fujian.gov.cn/ztzl/gzbufk/yqtb/202002/t20200203_5188217.htm,福建省卫生健康委员会,,
福建,莆田,2020-02-02,34,,,,,7,NA,,,,,http://wjw.fujian.gov.cn/ztzl/gzbufk/yqtb/202002/t20200203_5188217.htm,福建省卫生健康委员会,,
福建,南平,2020-02-02,11,,,,,3,NA,,,,,http://wjw.fujian.gov.cn/ztzl/gzbufk/yqtb/202002/t20200203_5188217.htm,福建省卫生健康委员会,,
福建,龙岩,2020-02-02,1,,,,,0,NA,,,,,http://wjw.fujian.gov.cn/ztzl/gzbufk/yqtb/202002/t20200203_5188217.htm,福建省卫生健康委员会,,
福建,宁德,2020-02-02,12,,,,,3,NA,,,,,http://wjw.fujian.gov.cn/ztzl/gzbufk/yqtb/202002/t20200203_5188217.htm,福建省卫生健康委员会,,
江西,江西,2020-02-02,391,18,,34,,59,NA,8,,,,http://hc.jiangxi.gov.cn/doc/2020/02/03/138004.shtml,江西省卫生健康委员会,,
江西,南昌,2020-02-02,103,4,,,,14,NA,3,,,,http://hc.jiangxi.gov.cn/doc/2020/02/03/138004.shtml,江西省卫生健康委员会,,
江西,九江,2020-02-02,64,2,,,,9,NA,2,,,,http://hc.jiangxi.gov.cn/doc/2020/02/03/138004.shtml,江西省卫生健康委员会,,
江西,新余,2020-02-02,50,3,,,,7,NA,0,,,,http://hc.jiangxi.gov.cn/doc/2020/02/03/138004.shtml,江西省卫生健康委员会,,
江西,宜春,2020-02-02,36,1,,,,5,NA,0,,,,http://hc.jiangxi.gov.cn/doc/2020/02/03/138004.shtml,江西省卫生健康委员会,,
江西,赣州,2020-02-02,35,1,,,,2,NA,0,,,,http://hc.jiangxi.gov.cn/doc/2020/02/03/138004.shtml,江西省卫生健康委员会,,
江西,上饶,2020-02-02,32,4,,,,13,NA,3,,,,http://hc.jiangxi.gov.cn/doc/2020/02/03/138004.shtml,江西省卫生健康委员会,,
江西,抚州,2020-02-02,29,0,,,,5,NA,0,,,,http://hc.jiangxi.gov.cn/doc/2020/02/03/138004.shtml,江西省卫生健康委员会,,
